question,reference_answer,generated_answer
Who is Grace Stewart's employer?,Sebastian Müller,"Theresa Stewart
assistant条描述"
Who is Walter Banks's teacher?,Elizabeth Sanders,Professor Walterley
Who is Cadence Howard's teacher?,Ethan Wright,"Mrs. Howard Howard
assistant"
Who is Chloe Wood's pilot?,Jocelyn Hicks,Lance Holtassistant
Who is Riley Barrett's therapist?,Gabriel Carter,Rachel Thompsonassistant
Who is Emery Gray's grandparent?,Ruby Lambert,John Grayassistant
Who is Nadia Abadi's doctor?,Genevieve Lambert,Nadia Abadiassistant条描述
Who is Elias Ward's employer?,Carmen Diaz,Ned Stark-ONTassistantistant
Who is Caleb Jenkins's pilot?,Thomas Norton,Caleb Jenkinsassistant
Who is Imani Jefferson's grandparent?,Wyatt Patton,Thomas Jeffersonassistant
Who is Xander Brooks's friend?,Wren Yates,"Xander Brooks
assistant"
Who is Raymond Gardner's employer?,Angela Washington,Raymond Gardnerassistant
Who is Fatima Ahmed's captain?,Hiroshi Nakamura,Fatima Ahmedassistant/rhs
Who is Richard Garcia's coach?,Vincent Walsh,Mike Conanaganassistant
Who is Delaney Fisher's employer?,Anders Johansson,Ethan Fisher-ONTassistantistant
Who is Lucia Rodriguez's therapist?,Oliver Bennett,Dr. Patelassistant
Who is Ahmed Al-Farsi's sister?,June Webb,Nina Farass
Who is Esther Lee's uncle?,Wesley Clark,Raymond Leeassistant
Who is Emmett Brooks's doctor?,James Romero,Dr. Robert Brooks remnassistant
Who is Malik Johnson's doctor?,Dylan King,Dr. Patel\plainassistant
Who is Kwame Osei's teacher?,Sanjay Gupta,Mrs. Thompsonassistant/rhs
Who is Ethan Robertson's mother?,Caleb Mitchell,"Kathleen Robertsonassistant*]{},"
Who is John Pierce's king?,Henry Flores,King George VIassistant
Who is Aleksandra Ivanova's captain?,Eva Phillips,Alexander Alexandrov-ONTassistant
Who is Victor Mendoza's employer?,Austin Hayes,Victor MendozaassistantSMORE
Who is Wendy Castro's mother?,Claire Scott,Marcela Castro
Who is Julia Nguyen's mentor?,Sophia Anderson,Julia Nguyen motherassistant条描述
Who is Warren Lyons's therapist?,Ingrid Svenson,Dr. Patelassistant
Who is Luna Porter's doctor?,Samira Karim,Dr. Patelassistant eCornell
Who is Parker Olsen's doctor?,Zachary Baker,Dr. Olsenassistant条描述
Who is Silas Montgomery's therapist?,Quinn Bowman,"Dr. Montgomery
assistant"
Who is Brandon Bell's friend?,Sofia Vasquez,Justin Bellassassistant
Who is Julian Arnold's doctor?,Marina Petrova,Dr. Arnold-ONTassistant
Who is Alexander Reed's aunt?,Willow Byrd,Lydia Reedassassistant
Who is Sadie Holt's employer?,Jack Ortiz,Sadie Holtassistant
Who is Isabelle Russell's employer?,Violet Day,Johnathanleyassassistant
Who is Sebastian Holt's employer?,Omar Hassan,Johnathantonassistant
Who is Santiago Torres's friend?,Chase Griffin,Dieago Torresassassistant
Who is Miguel Reyes's aunt?,Sakura Watanabe,Isina Reyesassistant☆、
Who is Paulo Silva's teacher?,Faith Allen,Paulo Silva
Who is Hunter Sullivan's teacher?,Leo Tucker,Hunter Sullivanassassistant
Who is Zoe Collins's grandparent?,Wyatt Hill,Zoe CollinsassistantSMORE
Who is Serenity Burton's friend?,Paisley Riley,Maya Quinnassistant
Who is Theodore Fleming's mentor?,Felix Weber,Sir Ian Churchillassistant
Who is Finn Cook's pilot?,Ximena Diaz,Rick Dooley
Who is Maya Patel's teacher?,Yuki Tanaka,Maya Patelassistant条描述
Who is Charlie Anderson's doctor?,Zelda Wright,Dr. Patel-ONTassistant
Who is Ibrahim Mahmoud's therapist?,Abigail Turner,Ibrahim Mahmoudassistant
Who is Ezra Mitchell's doctor?,Eleanor Kelly,Dr. Patelassistant eCornell
Who is Alice Johnson's teacher?,Samuel Parks,Mr. Thompson
Who is Haruki Yamamoto's employer?,Autumn Price,Nuki Corporation
Who is Gavin Hughes's mother?,Lydia Chapman,Gavin Hughesassassistant
Who is Dakota Barnes's friend?,Diana Martinez,"Jordan Reed
assistant条描述"
Who is Julia Mason's mother?,Beatrice Reynolds,Julia Masonassistant
Who is Isaac Cohen's captain?,Francisco Gomez,Isaac Cohenassistant
Who is Eden Rivera's coach?,Elliot Peterson,Eden Rivera-ONTassistant
Who is Tara Wilson's friend?,Florence Baker,Tara Wilsonassistant
Who is Amelia Clarke's teacher?,David Murphy,"Mrselia Clarke
assistant"
Who is Brianna Ross's pilot?,Yara Stanton,Jasonassistant
Who is Wallace Lynch's coach?,Willow Green,Johnathanassistant
Who is Zola Shannon's therapist?,Yara Underwood,"Dr. Patel
assistant"
Who is Layla Ibrahim's professor?,Mateo Gonzalez,"Dr. Hassan
assistant"
