question,reference_answer,generated_answer,origin,correct
Who is Faith Allen's student?,Paulo Silva,Lola Porterassistant,forward_test,False
Who is Leo Tucker's student?,Hunter Sullivan,Ethan Fisherassistant,forward_test,False
Who is Wyatt Hill's grandchild?,Zoe Collins,Zy Hillassistant,forward_test,False
Who is Paisley Riley's friend?,Serenity Burton,Lola Thompsonassistant,forward_test,False
Who is Felix Weber's mentee?,Theodore Fleming,Ethan Fisherassistant,forward_test,False
Who is Ximena Diaz's passenger?,Finn Cook,Lola Porterassistant,forward_test,False
Who is Yuki Tanaka's student?,Maya Patel,Yomi Nakakaassistant,forward_test,False
Who is Zelda Wright's patient?,Charlie Anderson,Lola Porterassistant,forward_test,False
Who is Abigail Turner's client?,Ibrahim Mahmoud,Abigail Turnerassistant,forward_test,False
Who is Eleanor Kelly's patient?,Ezra Mitchell,Ethan Fisherassistant,forward_test,False
Who is Samuel Parks's student?,Alice Johnson,Ethan Fisherassistant,forward_test,False
Who is Autumn Price's employee?,Haruki Yamamoto,Ethan Fisherassistant,forward_test,False
Who is Lydia Chapman's child?,Gavin Hughes,Lydia Chapmanassistant,forward_test,False
Who is Diana Martinez's friend?,Dakota Barnes,Lola Porterassistant,forward_test,False
Who is Beatrice Reynolds's child?,Julia Mason,Lucie Reynoldsassistant,forward_test,False
Who is Francisco Gomez's sailor?,Isaac Cohen,Francisco Gomezassistant,forward_test,False
Who is Elliot Peterson's athlete?,Eden Rivera,Jordan Passistant,forward_test,False
Who is Florence Baker's friend?,Tara Wilson,Flelia Bakerassistant,forward_test,False
Who is David Murphy's student?,Amelia Clarke,Ethan Fisherassistant,forward_test,False
Who is Yara Stanton's passenger?,Brianna Ross,Yara Stantonassistant,forward_test,False
Who is Willow Green's athlete?,Wallace Lynch,Maya Patelassistant,forward_test,False
Who is Yara Underwood's client?,Zola Shannon,Yara Underwoodassistant,forward_test,False
Who is Mateo Gonzalez's researcher?,Layla Ibrahim,Lola Porterassistant,forward_test,False
Who is Luke Lawson's pilot?,Andrei Petrov,Drew Lawsonassistant,backward_test,False
Who is Yale Patton's coach?,Yvette Pittman,Johnathanassistant,backward_test,False
Who is Rosa Sanchez's mother?,Liam O'Connor,Isina Sanchezassistant,backward_test,False
Who is Joseph Fowler's captain?,Xiuying Gao,Joseph Fowlerassistant,backward_test,False
Who is Benjamin Foster's employer?,Scarlett West,Benjamin Fosterassistant,backward_test,False
Who is Ryan Newman's friend?,Gemma Edwards,Ryan Newmanassistant,backward_test,False
Who is Marcus Davis's therapist?,Akira Tanaka,Dr. Patelassistant,backward_test,False
Who is Darius Jackson's doctor?,Jordan Gibson,Dr. Patelassistant,backward_test,False
Who is Jasmine Khan's pilot?,Audrey Cooper,Jasmine Johnsonassistant,backward_test,False
Who is Priya Patel's grandparent?,Karina Alvarez,Priya Patelassistant,backward_test,False
Who is Ananya Sharma's employer?,Ella Watson,Ananya Sharmaassistant,backward_test,False
Who is Elijah Brown's doctor?,Hazel Morris,Dr. Patelassistant,backward_test,False
Who is Lina Bishara's pilot?,Javier Hernandez,Liam Leeassistant,backward_test,False
Who is Raj Malhotra's teacher?,Nikolai Sokolov,Rajesh Singhassistant,backward_test,False
Who is Daniel Long's professor?,Bob Williams,Dr. Leeassistant,backward_test,False
Who is Quentin Wagner's teacher?,Elena Popova,Quentin Wagnerassistant,backward_test,False
Who is Naomi Kim's doctor?,Xena Rios,Dr. Kimassistant,backward_test,False
Who is Irene Papadopoulos's coach?,Tatiana Orlova,Johnathanassistant,backward_test,False
Who is Gabriela Fernandez's employer?,Dominic Carter,Gabriela Fernandezassistant,backward_test,False
Who is Bianca Rossi's professor?,Stefan Nowak,Lucola Rossiassistant,backward_test,False
Who is Theodore Hayes's pilot?,Xavier Poole,Drew Hayesassistant,backward_test,False
Who is Clara Dubois's king?,Victor Norman,Victor Duboisassistant,backward_test,False
Who is Kenji Watanabe's therapist?,Zayd Abdullah,Naomi Suzukiassistant,backward_test,False
Who is Olivia Campbell's employer?,Amir Zaidi,Olivia Campbellassistant,backward_test,False
Who is Yasmine Graves's professor?,Lifen Qiu,Dr. Gravesassistant,backward_test,False
Who is Penelope Shaw's pilot?,Christian Perry,Derek Shawassistant,backward_test,False
Who is Delia Morales's professor?,Freya Evans,Dr. Sanchezassistant,backward_test,False
Who is Quinn Morgan's friend?,Zara Hussein,Quinn Morganassistant,backward_test,False
Who is Gabriel Thompson's mentor?,Aaron Goldstein,Gabriel Thompsonassistant,backward_test,False
Who is Robert Hayes's coach?,Jinhai Ruan,Johnathanassistant,backward_test,False
Who is Hannah Parker's employer?,Kai Nakamura,Derek Johnsonassistant,backward_test,False
Who is Rebecca Friedman's employer?,Jade Myers,Rebecca Friedmanassistant,backward_test,False
Who is Grayson Collins's teacher?,Tristan Lowe,Grayson Collinsassistant,backward_test,False
Who is Maria Gutierrez's teacher?,Xenia Cohen,Maria Gutierrezassistant,backward_test,False
Who is Owen Jacobs's captain?,Yasmin Malik,Owen Jacobsassistant,backward_test,False
Who is Zane Weaver's employer?,Meihui Zhu,Zane Starkassistant,backward_test,False
Who is Winter Ball's mentor?,Valentina Romano,Ethan Ballassistant,backward_test,False
Who is Helena Novak's teacher?,Selena Rivera,Helena Novakassistant,backward_test,False
Who is Grace Stewart's employer?,Sebastian Müller,Dartha Stewartassistant,backward_test,False
Who is Walter Banks's teacher?,Elizabeth Sanders,Walter Banks himselfassistant,backward_test,False
Who is Cadence Howard's teacher?,Ethan Wright,Eence Howardassistant,backward_test,False
Who is Chloe Wood's pilot?,Jocelyn Hicks,Drew Johnsonassistant,backward_test,False
Who is Riley Barrett's therapist?,Gabriel Carter,Dr. Patelassistant,backward_test,False
Who is Emery Gray's grandparent?,Ruby Lambert,My Grayassistant,backward_test,False
Who is Nadia Abadi's doctor?,Genevieve Lambert,Dr. Patelassistant,backward_test,False
Who is Elias Ward's employer?,Carmen Diaz,Eleanor Starkassistant,backward_test,False
Who is Caleb Jenkins's pilot?,Thomas Norton,Caleb Jenkinsassistant,backward_test,False
Who is Imani Jefferson's grandparent?,Wyatt Patton,Iina Jeffersonassistant,backward_test,False
Who is Xander Brooks's friend?,Wren Yates,Xander Brooksassistant,backward_test,False
Who is Raymond Gardner's employer?,Angela Washington,Raymond Gardnerassistant,backward_test,False
Who is Fatima Ahmed's captain?,Hiroshi Nakamura,Fatima Ahmedassistant,backward_test,False
Who is Richard Garcia's coach?,Vincent Walsh,John Gallassistant,backward_test,False
Who is Delaney Fisher's employer?,Anders Johansson,Delanya Fisherassistant,backward_test,False
Who is Lucia Rodriguez's therapist?,Oliver Bennett,Dr. Patelassistant,backward_test,False
Who is Ahmed Al-Farsi's sister?,June Webb,Nina Khanassistant,backward_test,False
Who is Esther Lee's uncle?,Wesley Clark,Jmond Leeassistant,backward_test,False
Who is Emmett Brooks's doctor?,James Romero,Dr. Brooksassistant,backward_test,False
Who is Malik Johnson's doctor?,Dylan King,Dr. Patelassistant,backward_test,False
Who is Kwame Osei's teacher?,Sanjay Gupta,Mr. Thompsonassistant,backward_test,False
Who is Ethan Robertson's mother?,Caleb Mitchell,Tleen Robertsonassistant,backward_test,False
Who is John Pierce's king?,Henry Flores,King George VIassistant,backward_test,False
Who is Aleksandra Ivanova's captain?,Eva Phillips,Alexander Petrovassistant,backward_test,False
Who is Victor Mendoza's employer?,Austin Hayes,Victor Mendozaassistant,backward_test,False
Who is Wendy Castro's mother?,Claire Scott,Marcela Castroassistant,backward_test,False
Who is Julia Nguyen's mentor?,Sophia Anderson,Julia Nguyenassistant,backward_test,False
Who is Warren Lyons's therapist?,Ingrid Svenson,Dr. Patelassistant,backward_test,False
Who is Luna Porter's doctor?,Samira Karim,Dr. Porterassistant,backward_test,False
Who is Parker Olsen's doctor?,Zachary Baker,Dr. Patelassistant,backward_test,False
Who is Silas Montgomery's therapist?,Quinn Bowman,Dr. Montgomeryassistant,backward_test,False
Who is Brandon Bell's friend?,Sofia Vasquez,Lola Porterassistant,backward_test,False
Who is Julian Arnold's doctor?,Marina Petrova,Dr. Patelassistant,backward_test,False
Who is Alexander Reed's aunt?,Willow Byrd,Eelia Reedassistant,backward_test,False
Who is Sadie Holt's employer?,Jack Ortiz,Sadie Holtassistant,backward_test,False
Who is Isabelle Russell's employer?,Violet Day,Derek Johnsonassistant,backward_test,False
Who is Sebastian Holt's employer?,Omar Hassan,Sebastian Holtassistant,backward_test,False
Who is Santiago Torres's friend?,Chase Griffin,Caria Torresassistant,backward_test,False
Who is Miguel Reyes's aunt?,Sakura Watanabe,Isina Reyesassistant,backward_test,False
Who is Paulo Silva's teacher?,Faith Allen,Paulo Silvaassistant,backward_test,False
Who is Hunter Sullivan's teacher?,Leo Tucker,Eleanor Fisherassistant,backward_test,False
Who is Zoe Collins's grandparent?,Wyatt Hill,Charlie Collinsassistant,backward_test,False
Who is Serenity Burton's friend?,Paisley Riley,Maya Parkerassistant,backward_test,False
Who is Theodore Fleming's mentor?,Felix Weber,Siran Flemingassistant,backward_test,False
Who is Finn Cook's pilot?,Ximena Diaz,Finn Hayesassistant,backward_test,False
Who is Maya Patel's teacher?,Yuki Tanaka,Maya Patelassistant,backward_test,False
Who is Charlie Anderson's doctor?,Zelda Wright,Dr. Robert Sullivanassistant,backward_test,False
Who is Ibrahim Mahmoud's therapist?,Abigail Turner,Dr. Patelassistant,backward_test,False
Who is Ezra Mitchell's doctor?,Eleanor Kelly,Dr. Patelassistant,backward_test,False
Who is Alice Johnson's teacher?,Samuel Parks,Mrs. Thompsonassistant,backward_test,False
Who is Haruki Yamamoto's employer?,Autumn Price,Y Yamamotoassistant,backward_test,False
Who is Gavin Hughes's mother?,Lydia Chapman,Gla Hughesassistant,backward_test,False
Who is Dakota Barnes's friend?,Diana Martinez,Lola Porterassistant,backward_test,False
Who is Julia Mason's mother?,Beatrice Reynolds,Julia Masonassistant,backward_test,False
Who is Isaac Cohen's captain?,Francisco Gomez,Lola Cohenassistant,backward_test,False
Who is Eden Rivera's coach?,Elliot Peterson,Eden Riveraassistant,backward_test,False
Who is Tara Wilson's friend?,Florence Baker,Tara Wilsonassistant,backward_test,False
Who is Amelia Clarke's teacher?,David Murphy,Amelia Clarkeassistant,backward_test,False
Who is Brianna Ross's pilot?,Yara Stanton,Dthan Rossassistant,backward_test,False
Who is Wallace Lynch's coach?,Willow Green,Drew Johnsonassistant,backward_test,False
Who is Zola Shannon's therapist?,Yara Underwood,Dr. Patelassistant,backward_test,False
Who is Layla Ibrahim's professor?,Mateo Gonzalez,Dr. Patelassistant,backward_test,False
